colum1,colum2,Columna1,Columna2,Columna2
00129404,2,,,
04044839,2,,,
04060386,2,,,
04085809,2,,,
04086465,2,,,
07347926,2,,,
07687498,2,,,
07714445,2,,,
07765279,2,,,
07907285,2,,,
08060373,2,,,
08146623,2,,,
08303767,2,,,
09080985,2,,,
09355989,2,,,
09536856,2,,,
09961786,2,,,
10052045,2,,,
10243689,2,,,
10417935,2,,,
10472325,2,,,
10510385,2,,,
10698003,2,,,
10738763,2,,,
10874091,2,,,
16173620,2,,,
19804534,2,,,
19808290,2,,,
19814001,2,,,
19815168,2,,,
19818974,2,,,
19861870,2,,,
19863232,2,,,
19867496,2,,,
19867517,2,,,
19868268,2,,,
19868294,2,,,
19873924,2,,,
19896131,2,,,
19896321,2,,,
19896576,2,,,
19897663,2,,,
19900263,2,,,
19915231,2,,,
19922450,2,,,
19934050,2,,,
19934152,2,,,
19936016,2,,,
19942622,2,,,
19942786,2,,,
19943664,2,,,
19958024,2,,,
19958345,2,,,
19962468,2,,,
19968093,2,,,
19977529,2,,,
19985174,2,,,
19985508,2,,,
19986632,2,,,
19988458,2,,,
19990111,2,,,
20001592,2,,,
20003351,2,,,
20005526,2,,,
20005856,2,,,
20006044,2,,,
20006075,2,,,
20010959,2,,,
20011313,2,,,
20012890,2,,,
20016182,2,,,
20017323,2,,,
20018748,2,,,
20019495,2,,,
20024262,2,,,
20024286,2,,,
20026764,2,,,
20026820,2,,,
20027356,2,,,
20029089,2,,,
20031108,2,,,
20032906,2,,,
20034858,2,,,
20036081,2,,,
20036206,2,,,
20036278,2,,,
20037468,2,,,
20037812,2,,,
20037870,2,,,
20037895,2,,,
20039167,2,,,
20040026,2,,,
20040317,2,,,
20041190,2,,,
20043203,2,,,
20045894,2,,,
20048318,2,,,
20049180,2,,,
20049610,2,,,
20050063,2,,,
20050108,2,,,
20050204,2,,,
20053595,2,,,
20053614,2,,,
20053629,2,,,
20054068,2,,,
20054117,2,,,
20054345,2,,,
20055041,2,,,
20055095,2,,,
20055175,2,,,
20055402,2,,,
20056890,2,,,
20057129,2,,,
20057284,2,,,
20057746,2,,,
20057818,2,,,
20058858,2,,,
20060672,2,,,
20062324,2,,,
20062924,2,,,
20063740,2,,,
20063756,2,,,
20064480,2,,,
20064522,2,,,
20065264,2,,,
20065275,2,,,
20065834,2,,,
20065841,2,,,
20067194,2,,,
20067406,2,,,
20067622,2,,,
20070611,2,,,
20072126,2,,,
20072278,2,,,
20072328,2,,,
20072450,2,,,
20072741,2,,,
20072881,2,,,
20073167,2,,,
20074163,2,,,
20074916,2,,,
20075504,2,,,
20078297,2,,,
20079550,2,,,
20079989,2,,,
20080459,2,,,
20081108,2,,,
20081956,2,,,
20082690,2,,,
20083065,2,,,
20083612,2,,,
20084256,2,,,
20084342,2,,,
20084958,2,,,
20085799,2,,,
20089423,2,,,
20089973,2,,,
20092638,2,,,
20094083,2,,,
20097359,2,,,
20097409,2,,,
20097435,2,,,
20100047,2,,,
20100198,2,,,
20101090,2,,,
20104417,2,,,
20105861,2,,,
20106383,2,,,
20106409,2,,,
20106748,2,,,
20107162,2,,,
20109033,2,,,
20109507,2,,,
20113182,2,,,
20113877,2,,,
20114252,2,,,
20114335,2,,,
20114668,2,,,
20114914,2,,,
20115806,2,,,
20115832,2,,,
20116569,2,,,
20116843,2,,,
20117109,2,,,
20118778,2,,,
20118878,2,,,
20119187,2,,,
20119444,2,,,
20119615,2,,,
20119625,2,,,
20119708,2,,,
20122170,2,,,
20122203,2,,,
20123429,2,,,
20401700,2,,,
20406368,2,,,
20407443,2,,,
20427138,2,,,
20427212,2,,,
20427267,2,,,
20427298,2,,,
20431034,2,,,
20437039,2,,,
20437525,2,,,
20438280,2,,,
20653894,2,,,
20669564,2,,,
20669581,2,,,
20669550,2,,,
20678756,2,,,
20680643,2,,,
20709088,2,,,
20718996,2,,,
20723300,2,,,
20724556,2,,,
20726375,2,,,
20734101,2,,,
20901070,2,,,
21136155,2,,,
21240665,2,,,
21286355,2,,,
21286704,2,,,
21289575,2,,,
21298520,2,,,
21448971,2,,,
23266776,2,,,
23269890,2,,,
23274157,2,,,
23274317,2,,,
23560666,2,,,
23693171,2,,,
23702910,2,,,
23705164,2,,,
23714602,2,,,
25810950,2,,,
29606807,2,,,
40032435,2,,,
40048863,2,,,
40081230,2,,,
40096128,2,,,
40127705,2,,,
40153193,2,,,
40178801,2,,,
40309559,2,,,
40326449,2,,,
40328346,2,,,
40352190,2,,,
40378157,2,,,
40386013,2,,,
40398319,2,,,
40456380,2,,,
40456565,2,,,
40463842,2,,,
40473165,2,,,
40596557,2,,,
40597891,2,,,
40599636,2,,,
40602556,2,,,
40637633,2,,,
40647289,2,,,
40649772,2,,,
40653847,2,,,
40674024,2,,,
40674752,2,,,
40678388,2,,,
40685925,2,,,
40687591,2,,,
40699016,2,,,
40705994,2,,,
40714291,2,,,
40719393,2,,,
40733954,2,,,
40759203,2,,,
40764594,2,,,
40778643,2,,,
40784028,2,,,
40784601,2,,,
40790358,2,,,
40811384,2,,,
40826577,2,,,
40826590,2,,,
40838215,2,,,
40855583,2,,,
40855604,2,,,
40858006,2,,,
40876131,2,,,
40896047,2,,,
40942671,2,,,
40950282,2,,,
40954750,2,,,
40967736,2,,,
40974468,2,,,
40990059,2,,,
41006444,2,,,
41025702,2,,,
41035150,2,,,
41050171,2,,,
41050185,2,,,
41060314,2,,,
41075182,2,,,
41101801,2,,,
41111228,2,,,
41120548,2,,,
41132092,2,,,
41151457,2,,,
41224723,2,,,
41225233,2,,,
41225309,2,,,
41231984,2,,,
41236648,2,,,
41239392,2,,,
41261760,2,,,
41279129,2,,,
41303567,2,,,
41324691,2,,,
41330443,2,,,
41342325,2,,,
41346308,2,,,
41366935,2,,,
41393786,2,,,
41397002,2,,,
41403722,2,,,
41405174,2,,,
41406100,2,,,
41409788,2,,,
41415181,2,,,
41462485,2,,,
41502991,2,,,
41512750,2,,,
41520471,2,,,
41536226,2,,,
41542458,2,,,
41571187,2,,,
41580484,2,,,
41580980,2,,,
41586780,2,,,
41587311,2,,,
41587534,2,,,
41590904,2,,,
41597571,2,,,
41611828,2,,,
41611830,2,,,
41651643,2,,,
41662257,2,,,
41691487,2,,,
41729781,2,,,
41760667,2,,,
41768107,2,,,
41799253,2,,,
41889291,2,,,
41920531,2,,,
41923998,2,,,
41939012,2,,,
41945627,2,,,
41952723,2,,,
41956302,2,,,
41964527,2,,,
41967470,2,,,
41968720,2,,,
42036653,2,,,
42060106,2,,,
42097298,2,,,
42105981,2,,,
42108634,2,,,
42124134,2,,,
42129305,2,,,
42204896,2,,,
42213417,2,,,
42215794,2,,,
42228817,2,,,
42237696,2,,,
42258237,2,,,
42272860,2,,,
42276673,2,,,
42277041,2,,,
42297145,2,,,
42316287,2,,,
42325126,2,,,
42352300,2,,,
42370084,2,,,
42370085,2,,,
42373776,2,,,
42381127,2,,,
42399451,2,,,
42412903,2,,,
42433163,2,,,
42444794,2,,,
42447389,2,,,
42507737,2,,,
42520979,2,,,
42569420,2,,,
42650233,2,,,
42663473,2,,,
42709715,2,,,
42714738,2,,,
42736861,2,,,
42742856,2,,,
42743358,2,,,
42753863,2,,,
42790439,2,,,
42807822,2,,,
42825724,2,,,
42825739,2,,,
42859387,2,,,
42863245,2,,,
42866051,2,,,
42868454,2,,,
42883680,2,,,
42895634,2,,,
42904650,2,,,
42947061,2,,,
42991218,2,,,
42994687,2,,,
42995829,2,,,
43048054,2,,,
43048974,2,,,
43053023,2,,,
43062841,2,,,
43073467,2,,,
43107120,2,,,
43119384,2,,,
43152710,2,,,
43168570,2,,,
43191861,2,,,
43193094,2,,,
43237337,2,,,
43303549,2,,,
43333785,2,,,
43334404,2,,,
43334804,2,,,
43400677,2,,,
43404394,2,,,
43445722,2,,,
43475878,2,,,
43522964,2,,,
43556566,2,,,
43564398,2,,,
43597510,2,,,
43599460,2,,,
43693442,2,,,
43696020,2,,,
43719005,2,,,
43725015,2,,,
43801814,2,,,
43828537,2,,,
43832725,2,,,
43885654,2,,,
43915611,2,,,
43932475,2,,,
43994997,2,,,
44063660,2,,,
44070279,2,,,
44104669,2,,,
44109811,2,,,
44141204,2,,,
44171821,2,,,
44291547,2,,,
44300980,2,,,
44362996,2,,,
44368766,2,,,
44401441,2,,,
44415242,2,,,
44436159,2,,,
44446614,2,,,
44463720,2,,,
44470918,2,,,
44500018,2,,,
44505731,2,,,
44512650,2,,,
44528261,2,,,
44529823,2,,,
44537460,2,,,
44543221,2,,,
44545621,2,,,
44607638,2,,,
44607711,2,,,
44617002,2,,,
44617100,2,,,
44694718,2,,,
44738524,2,,,
44813242,2,,,
44861417,2,,,
44871770,2,,,
44882301,2,,,
44882803,2,,,
44915060,2,,,
44946120,2,,,
44972203,2,,,
45025170,2,,,
45025750,2,,,
45076328,2,,,
45077431,2,,,
45110696,2,,,
45210899,2,,,
45218996,2,,,
45223020,2,,,
45238528,2,,,
45311512,2,,,
45317040,2,,,
45335858,2,,,
45407154,2,,,
45459468,2,,,
45509416,2,,,
45520407,2,,,
45530293,2,,,
45559384,2,,,
45573812,2,,,
45587003,2,,,
45610068,2,,,
45624208,2,,,
45628319,2,,,
45637278,2,,,
45638959,2,,,
45671485,2,,,
45672500,2,,,
45696701,2,,,
45701470,2,,,
45725126,2,,,
45766186,2,,,
45930353,2,,,
45962045,2,,,
46002389,2,,,
46054041,2,,,
46081784,2,,,
46086287,2,,,
46105774,2,,,
46178290,2,,,
46218924,2,,,
46256322,2,,,
46284924,2,,,
46599011,2,,,
46600161,2,,,
46722554,2,,,
46817871,2,,,
46881730,2,,,
46901241,2,,,
47005530,2,,,
47006189,2,,,
47044918,2,,,
47174834,2,,,
47176165,2,,,
47268690,2,,,
47463568,2,,,
47526825,2,,,
47553047,2,,,
47659439,2,,,
47931965,2,,,
47993071,2,,,
48058846,2,,,
48059649,2,,,
48168339,2,,,
48342085,2,,,
48422476,2,,,
48426190,2,,,
48442917,2,,,
48717838,2,,,
48787626,2,,,
62094643,2,,,
70019365,2,,,
70071343,2,,,
70115453,2,,,
70130824,2,,,
70134767,2,,,
70139867,2,,,
70163344,2,,,
70164197,2,,,
70190472,2,,,
70248764,2,,,
70295586,2,,,
70758040,2,,,
70796851,2,,,
71234200,2,,,
71268582,2,,,
71565861,2,,,
71645368,2,,,
71809300,2,,,
71831049,2,,,
71990965,2,,,
72086802,2,,,
72474587,2,,,
72841464,2,,,
73182296,2,,,
73195030,2,,,
73207050,2,,,
73249544,2,,,
73362898,2,,,
73441297,2,,,
73460727,2,,,
73599994,2,,,
73876941,2,,,
73883568,2,,,
74042345,2,,,
74048925,2,,,
74875033,2,,,
74969450,2,,,
75142208,2,,,
75256505,2,,,
75830231,2,,,
75986203,2,,,
76421082,2,,,
76662618,2,,,
77477428,2,,,
80005824,2,,,
80015138,2,,,
80020280,2,,,
80064908,2,,,
80074369,2,,,
80206309,2,,,
80567857,2,,,
80634639,2,,,
08009878,2,,,
08009885,2,,,
08009943,2,,,
08009955,2,,,
08009958,2,,,
08009978,2,,,
08009985,2,,,
08009986,2,,,
08010027,2,,,
08010038,2,,,
08010039,2,,,
08010076,2,,,
08010077,2,,,
08010098,2,,,
08010107,2,,,
08010137,2,,,
08010139,2,,,
08010156,2,,,
08010189,2,,,
08010194,2,,,
08010197,2,,,
08010218,2,,,
08010246,2,,,
08010289,2,,,
08010305,2,,,
08010315,2,,,
08010332,2,,,
08010369,2,,,
08010423,2,,,
08010433,2,,,
08010448,2,,,
08010450,2,,,
08010485,2,,,
08010489,2,,,
08010507,2,,,
08010511,2,,,
08010528,2,,,
08010547,2,,,
08010558,2,,,
08010593,2,,,
08010595,2,,,
08010596,2,,,
08010601,2,,,
08010643,2,,,
08010686,2,,,
08010688,2,,,
08010706,2,,,
