a,a2,Columna1,Columna2,Columna2
47630277,100,,,
47630278,100,,,
47630279,100,,,
47630280,100,,,
47630281,100,,,
47630282,100,,,
47630283,100,,,
47630284,100,,,
47630285,100,,,
47630286,100,,,
47630287,100,,,
47630288,100,,,
47630289,100,,,
47630290,100,,,
47630291,100,,,
47630292,100,,,
47630293,100,,,
47630294,100,,,
47630295,100,,,
47630296,100,,,
47630297,100,,,
47630298,100,,,
47630299,100,,,
47630300,100,,,
47630301,100,,,
47630302,100,,,
47630303,100,,,
47630304,100,,,
47630305,100,,,
47630306,100,,,
47630307,100,,,
47630308,100,,,
47630309,100,,,
47630310,100,,,
47630311,100,,,
47630312,100,,,
47630313,100,,,
47630314,100,,,
47630315,100,,,
47630316,100,,,
47630317,100,,,
47630318,100,,,
47630319,100,,,
47630320,100,,,
47630321,100,,,
47630322,100,,,
47630323,100,,,
47630324,100,,,
47630325,100,,,
47630326,100,,,
47630327,100,,,
47630328,100,,,
47630329,100,,,
47630330,100,,,
47630331,100,,,
47630332,100,,,
47630333,100,,,
47630334,100,,,
47630335,100,,,
47630336,100,,,
47630337,100,,,
47630338,100,,,
47630339,100,,,
47630340,100,,,
47630341,100,,,
47630342,100,,,
47630343,100,,,
47630344,100,,,
47630345,100,,,
47630346,100,,,
47630347,100,,,
47630348,100,,,
47630349,100,,,
47630350,100,,,
47630351,100,,,
47630352,100,,,
47630353,100,,,
47630354,100,,,
47630355,100,,,
47630356,100,,,
47630357,100,,,
47630358,100,,,
47630359,100,,,
47630360,100,,,
47630361,100,,,
47630362,100,,,
47630363,100,,,
47630364,100,,,
47630365,100,,,
47630366,100,,,
47630367,100,,,
47630368,100,,,
47630369,100,,,
47630370,100,,,
47630371,100,,,
47630372,100,,,
47630373,100,,,
47630374,100,,,
47630375,100,,,
47630376,100,,,
47630377,100,,,
47630378,100,,,
47630379,100,,,
47630380,100,,,
47630381,100,,,
47630382,100,,,
47630383,100,,,
47630384,100,,,
47630385,100,,,
47630386,100,,,
47630387,100,,,
47630388,100,,,
47630389,100,,,
47630390,100,,,
47630391,100,,,
47630392,100,,,
47630393,100,,,
47630394,100,,,
47630395,100,,,
47630396,100,,,
47630397,100,,,
47630398,100,,,
47630399,100,,,
47630400,100,,,
47630401,100,,,
47630402,100,,,
47630403,100,,,
47630404,100,,,
47630405,100,,,
47630406,100,,,
47630407,100,,,
47630408,100,,,
47630409,100,,,
47630410,100,,,
47630411,100,,,
47630412,100,,,
47630413,100,,,
47630414,100,,,
47630415,100,,,
47630416,100,,,
47630417,100,,,
47630418,100,,,
47630419,100,,,
47630420,100,,,
47630421,100,,,
47630422,100,,,
47630423,100,,,
