a,a,Columna1,Columna2,Columna2
46009922,27,,,
46009923,27,,,
46009924,27,,,
46009925,27,,,
46009926,27,,,
46009927,27,,,
46009928,27,,,
46009929,27,,,
46009930,27,,,
46009931,27,,,
46009932,27,,,
46009933,27,,,
46009934,27,,,
46009935,27,,,
46009936,27,,,
46009937,27,,,
46009938,27,,,
46009939,27,,,
46009940,27,,,
46009941,27,,,
46009942,27,,,
46009943,27,,,
46009944,27,,,
46009945,27,,,
46009946,27,,,
46009947,27,,,
46009948,27,,,
46009949,27,,,
46009950,27,,,
46009951,27,,,
46009952,27,,,
46009953,27,,,
46009954,27,,,
46009955,27,,,
46009956,27,,,
46009957,27,,,
46009958,27,,,
46009959,27,,,
46009960,27,,,
46009961,27,,,
46009962,27,,,
46009963,27,,,
46009964,27,,,
46009965,27,,,
46009966,27,,,
46009967,27,,,
46009968,27,,,
46009969,27,,,
46009970,27,,,
46009971,27,,,
46009972,27,,,
46009973,27,,,
46009974,27,,,
46009975,27,,,
46009976,27,,,
46009977,27,,,
46009978,27,,,
46009979,27,,,
46009980,27,,,
46009981,27,,,
46009982,27,,,
46009983,27,,,
46009984,27,,,
46009985,27,,,
46009986,27,,,
46009987,27,,,
46009988,27,,,
46009989,27,,,
46009990,27,,,
46009991,27,,,
46009992,27,,,
46009993,27,,,
46009994,27,,,
46009995,27,,,
46009996,27,,,
46009997,27,,,
46009998,27,,,
46009999,27,,,
46010000,27,,,
46010001,27,,,
46010002,27,,,
46010003,27,,,
46010004,27,,,
46010005,27,,,
46010006,27,,,
46010007,27,,,
46010008,27,,,
46010009,27,,,
46010010,27,,,
46010011,27,,,
46010012,27,,,
46010013,27,,,
46010014,27,,,
46010015,27,,,
46010016,27,,,
46010017,27,,,
46010018,27,,,
46010019,27,,,
46010020,27,,,
46010021,27,,,
46010022,27,,,
46010023,27,,,
46010024,27,,,
46010025,27,,,
46010026,27,,,
46010027,27,,,
46010028,27,,,
46010029,27,,,
46010030,27,,,
46010031,27,,,
46010032,27,,,
46010033,27,,,
46010034,27,,,
46010035,27,,,
46010036,27,,,
46010037,27,,,
46010038,27,,,
46010039,27,,,
46010040,27,,,
46010041,27,,,
46010042,27,,,
46010043,27,,,
46010044,27,,,
46010045,27,,,
46010046,27,,,
46010047,27,,,
46010048,27,,,
46010049,27,,,
46010050,27,,,
46010051,27,,,
46010052,27,,,
46010053,27,,,
46010054,27,,,
46010055,27,,,
46010056,27,,,
46010057,27,,,
46010058,27,,,
46010059,27,,,
46010060,27,,,
46010061,27,,,
46010062,27,,,
46010063,27,,,
46010064,27,,,
46010065,27,,,
46010066,27,,,
46010067,27,,,
46010068,27,,,
46010069,27,,,
46010070,27,,,
46010071,27,,,
46010072,27,,,
46010073,27,,,
46010074,27,,,
46010075,27,,,
46010076,27,,,
46010077,27,,,
46010078,27,,,
46010079,27,,,
46010080,27,,,
46010081,27,,,
46010082,27,,,
46010083,27,,,
46010084,27,,,
46010085,27,,,
46010086,27,,,
46010087,27,,,
46010088,27,,,
46010089,27,,,
46010090,27,,,
46010091,27,,,
46010092,27,,,
46010093,27,,,
46010094,27,,,
46010095,27,,,
46010096,27,,,
46010097,27,,,
46010098,27,,,
46010099,27,,,
46010100,27,,,
46010101,27,,,
46010102,27,,,
46010103,27,,,
46010104,27,,,
46010105,27,,,
46010106,27,,,
46010107,27,,,
46010108,27,,,
46010109,27,,,
46010110,27,,,
46010111,27,,,
46010112,27,,,
46010113,27,,,
46010114,27,,,
46010115,27,,,
46010116,27,,,
46010117,27,,,
46010118,27,,,
46010119,27,,,
46010120,27,,,
46010121,27,,,
46010122,27,,,
46010123,27,,,
46010124,27,,,
46010125,27,,,
46010126,27,,,
46010127,27,,,
46010128,27,,,
46010129,27,,,
46010130,27,,,
46010131,27,,,
46010132,27,,,
46010133,27,,,
46010134,27,,,
46010135,27,,,
46010136,27,,,
46010137,27,,,
46010138,27,,,
46010139,27,,,
46010140,27,,,
46010141,27,,,
46010142,27,,,
46010143,27,,,
46010144,27,,,
46010145,27,,,
46010146,27,,,
46010147,27,,,
46010148,27,,,
46010149,27,,,
46010150,27,,,
46010151,27,,,
46010152,27,,,
46010153,27,,,
46010154,27,,,
46010155,27,,,
46010156,27,,,
46010157,27,,,
46010158,27,,,
46010159,27,,,
46010160,27,,,
46010161,27,,,
46010162,27,,,
46010163,27,,,
46010164,27,,,
46010165,27,,,
46010166,27,,,
46010167,27,,,
46010168,27,,,
46010169,27,,,
46010170,27,,,
46010171,27,,,
46010172,27,,,
46010173,27,,,
