colum1,colum2,Columna1,Columna2,Columna2
08099978,2,,,
08099984,2,,,
08099990,2,,,
08099991,2,,,
08100029,2,,,
08100038,2,,,
08100058,2,,,
08100070,2,,,
08100092,2,,,
08100112,2,,,
08100121,2,,,
08100146,2,,,
08100149,2,,,
08100176,2,,,
08100190,2,,,
08100198,2,,,
08100248,2,,,
08100265,2,,,
08100281,2,,,
08100285,2,,,
08100288,2,,,
08100330,2,,,
08100363,2,,,
08100369,2,,,
08100374,2,,,
08100392,2,,,
08100398,2,,,
08100413,2,,,
08100422,2,,,
08100534,2,,,
08100609,2,,,
08100631,2,,,
08100633,2,,,
08100635,2,,,
08100651,2,,,
08100672,2,,,
08100691,2,,,
08100696,2,,,
08100707,2,,,
08100712,2,,,
08100733,2,,,
08100760,2,,,
08100775,2,,,
08100776,2,,,
08100792,2,,,
08100808,2,,,
08100811,2,,,
08100815,2,,,
08100823,2,,,
08100836,2,,,
08100962,2,,,
08100968,2,,,
08101023,2,,,
08101024,2,,,
08101046,2,,,
08101054,2,,,
08101055,2,,,
08101079,2,,,
08101105,2,,,
08101108,2,,,
08101134,2,,,
08101136,2,,,
08101172,2,,,
08101213,2,,,
08101269,2,,,
08101277,2,,,
08101279,2,,,
08101280,2,,,
08101301,2,,,
08101303,2,,,
08101329,2,,,
08101351,2,,,
08101371,2,,,
08101382,2,,,
08101388,2,,,
08101417,2,,,
08101455,2,,,
08101457,2,,,
08101459,2,,,
08101465,2,,,
08101479,2,,,
08101492,2,,,
08101515,2,,,
08101570,2,,,
08101574,2,,,
08101583,2,,,
08101589,2,,,
08101629,2,,,
08101681,2,,,
08101711,2,,,
08101713,2,,,
08101730,2,,,
08101736,2,,,
08101745,2,,,
08101771,2,,,
08101772,2,,,
08101802,2,,,
08101845,2,,,
08101849,2,,,
08101854,2,,,
08101867,2,,,
08101873,2,,,
08101884,2,,,
08101900,2,,,
08101905,2,,,
08101906,2,,,
08101914,2,,,
08101922,2,,,
08101925,2,,,
08101927,2,,,
08101940,2,,,
08101950,2,,,
08101961,2,,,
08102000,2,,,
08102005,2,,,
08102024,2,,,
08102116,2,,,
08102119,2,,,
08102134,2,,,
08102159,2,,,
08102185,2,,,
08102193,2,,,
08102201,2,,,
08102207,2,,,
08102237,2,,,
08102246,2,,,
08102252,2,,,
08102253,2,,,
08102271,2,,,
08102286,2,,,
08102299,2,,,
08102301,2,,,
08102314,2,,,
08102315,2,,,
08102336,2,,,
08102349,2,,,
08102357,2,,,
08102371,2,,,
08102389,2,,,
08102393,2,,,
08102429,2,,,
08102444,2,,,
08102456,2,,,
08102462,2,,,
08102467,2,,,
08102472,2,,,
08102495,2,,,
08102521,2,,,
08102528,2,,,
08102543,2,,,
08102550,2,,,
08102568,2,,,
08102580,2,,,
08102587,2,,,
08102600,2,,,
08102629,2,,,
08102698,2,,,
08102702,2,,,
08102710,2,,,
08102716,2,,,
08102731,2,,,
08102744,2,,,
08102758,2,,,
08102759,2,,,
08102760,2,,,
08102803,2,,,
08102819,2,,,
08102830,2,,,
08102838,2,,,
08102839,2,,,
08102859,2,,,
08102860,2,,,
08102916,2,,,
08102929,2,,,
08102933,2,,,
08102952,2,,,
08102959,2,,,
08102962,2,,,
08102981,2,,,
08103002,2,,,
08103005,2,,,
08103006,2,,,
08103013,2,,,
08103046,2,,,
08103061,2,,,
08103085,2,,,
08103087,2,,,
08103090,2,,,
08103097,2,,,
08103101,2,,,
08103108,2,,,
08103125,2,,,
08103127,2,,,
08103133,2,,,
08103144,2,,,
08103161,2,,,
08103167,2,,,
08103204,2,,,
08103208,2,,,
08103222,2,,,
08103238,2,,,
08103246,2,,,
08103269,2,,,
08103281,2,,,
08103295,2,,,
08103301,2,,,
08103318,2,,,
08103338,2,,,
08103345,2,,,
08103349,2,,,
08103350,2,,,
08103357,2,,,
08103365,2,,,
08103368,2,,,
08103370,2,,,
08103372,2,,,
08103373,2,,,
08103388,2,,,
08103402,2,,,
08103410,2,,,
08103437,2,,,
08103438,2,,,
08103465,2,,,
08103475,2,,,
08103481,2,,,
08103483,2,,,
08103497,2,,,
08103503,2,,,
08103510,2,,,
08103524,2,,,
08103532,2,,,
08103536,2,,,
08103543,2,,,
08103556,2,,,
08103557,2,,,
08103596,2,,,
08103629,2,,,
08103670,2,,,
08103675,2,,,
08103691,2,,,
08103692,2,,,
08103719,2,,,
08103722,2,,,
08103737,2,,,
08103754,2,,,
08103767,2,,,
08103768,2,,,
08103775,2,,,
08103795,2,,,
08103805,2,,,
08103810,2,,,
08103819,2,,,
08103854,2,,,
08103868,2,,,
08103928,2,,,
08103959,2,,,
08103961,2,,,
08103998,2,,,
08104005,2,,,
08104042,2,,,
08104056,2,,,
08104066,2,,,
08104077,2,,,
08104081,2,,,
08104089,2,,,
08104094,2,,,
08104095,2,,,
08104102,2,,,
08104128,2,,,
08104160,2,,,
08104161,2,,,
08104184,2,,,
08104195,2,,,
08104200,2,,,
08104202,2,,,
08104203,2,,,
08104226,2,,,
08104229,2,,,
08104233,2,,,
08104238,2,,,
08104288,2,,,
08104309,2,,,
08104332,2,,,
08104368,2,,,
08104375,2,,,
08104386,2,,,
08104405,2,,,
08104437,2,,,
08104441,2,,,
08104451,2,,,
08104459,2,,,
08104470,2,,,
08104479,2,,,
08104535,2,,,
08104544,2,,,
08104549,2,,,
08104561,2,,,
08104562,2,,,
08104570,2,,,
08104574,2,,,
08104576,2,,,
08104581,2,,,
08104583,2,,,
08104615,2,,,
08104616,2,,,
08104622,2,,,
08104637,2,,,
08104639,2,,,
08104661,2,,,
08104666,2,,,
08104670,2,,,
08104671,2,,,
08104704,2,,,
08104708,2,,,
08104710,2,,,
08104716,2,,,
08104721,2,,,
08104723,2,,,
08104728,2,,,
08104732,2,,,
08104766,2,,,
08104783,2,,,
08104786,2,,,
08104797,2,,,
08104798,2,,,
08104805,2,,,
08104808,2,,,
08104810,2,,,
08104816,2,,,
08104822,2,,,
08104857,2,,,
08104887,2,,,
08104889,2,,,
08104890,2,,,
08104898,2,,,
08104902,2,,,
08104912,2,,,
08104923,2,,,
08104929,2,,,
08104933,2,,,
08104948,2,,,
08104980,2,,,
08105017,2,,,
08105031,2,,,
08105032,2,,,
08105066,2,,,
08105067,2,,,
08105077,2,,,
08105086,2,,,
08105104,2,,,
08105107,2,,,
08105113,2,,,
08105121,2,,,
08105122,2,,,
08105128,2,,,
08105129,2,,,
08105152,2,,,
08105223,2,,,
08105229,2,,,
08105253,2,,,
08105267,2,,,
08105271,2,,,
08105274,2,,,
08105285,2,,,
08105299,2,,,
08105304,2,,,
08105307,2,,,
08105309,2,,,
08105311,2,,,
08105317,2,,,
08105335,2,,,
08105347,2,,,
08105369,2,,,
08105385,2,,,
08105390,2,,,
08105392,2,,,
08105401,2,,,
08105403,2,,,
08105421,2,,,
08105423,2,,,
08105426,2,,,
08105437,2,,,
08105447,2,,,
08105460,2,,,
08105468,2,,,
08105482,2,,,
08105483,2,,,
08105487,2,,,
08105488,2,,,
08105491,2,,,
08105505,2,,,
08105516,2,,,
08105528,2,,,
08105530,2,,,
08105577,2,,,
08105588,2,,,
08105611,2,,,
08105617,2,,,
08105632,2,,,
08105657,2,,,
08105658,2,,,
08105674,2,,,
08105716,2,,,
08105718,2,,,
08105719,2,,,
08105720,2,,,
08105721,2,,,
08105724,2,,,
08105725,2,,,
08105738,2,,,
