co1,co2,Columna1,Columna2,Columna2
08230192,0,,,
08230193,0,,,
08230194,0,,,
08230195,0,,,
08230196,0,,,
08230197,0,,,
08230198,0,,,
08230199,0,,,
08230200,0,,,
08230201,0,,,
08230202,0,,,
08230203,0,,,
08230204,0,,,
08230205,0,,,
08230206,0,,,
08230207,0,,,
08230208,0,,,
08230209,0,,,
08230210,0,,,
08230211,0,,,
08230212,0,,,
08230213,0,,,
08230214,0,,,
08230215,0,,,
08230216,0,,,
08230217,0,,,
08230218,0,,,
08230219,0,,,
08230220,0,,,
08230221,0,,,
08230222,0,,,
08230223,0,,,
08230224,0,,,
08230225,0,,,
08230226,0,,,
08230227,0,,,
08230228,0,,,
08230229,0,,,
08230230,0,,,
08230231,0,,,
08230232,0,,,
08230233,0,,,
08230234,0,,,
08230235,0,,,
08230236,0,,,
08230237,0,,,
08230238,0,,,
08230239,0,,,
08230240,0,,,
08230241,0,,,
08230242,0,,,
08230243,0,,,
08230244,0,,,
08230245,0,,,
08230246,0,,,
08230247,0,,,
08230248,0,,,
08230249,0,,,
08230250,0,,,
08230251,0,,,
08230252,0,,,
08230253,0,,,
08230254,0,,,
08230255,0,,,
08230256,0,,,
08230257,0,,,
08230258,0,,,
08230259,0,,,
08230260,0,,,
08230261,0,,,
08230262,0,,,
08230263,0,,,
08230264,0,,,
08230265,0,,,
08230266,0,,,
08230267,0,,,
08230268,0,,,
08230269,0,,,
08230270,0,,,
08230271,0,,,
08230272,0,,,
08230273,0,,,
08230274,0,,,
08230275,0,,,
08230276,0,,,
08230277,0,,,
08230278,0,,,
08230279,0,,,
08230280,0,,,
08230281,0,,,
08230282,0,,,
08230283,0,,,
08230284,0,,,
08230285,0,,,
08230286,0,,,
08230287,0,,,
08230288,0,,,
08230289,0,,,
08230290,0,,,
08230291,0,,,
08230292,0,,,
08230293,0,,,
08230294,0,,,
08230295,0,,,
08230296,0,,,
08230297,0,,,
08230298,0,,,
08230299,0,,,
08230300,0,,,
08230301,0,,,
08230302,0,,,
08230303,0,,,
08230304,0,,,
08230305,0,,,
08230306,0,,,
08230307,0,,,
08230308,0,,,
08230309,0,,,
08230310,0,,,
08230311,0,,,
08230312,0,,,
08230313,0,,,
08230314,0,,,
08230315,0,,,
08230316,0,,,
08230317,0,,,
08230318,0,,,
08230319,0,,,
08230320,0,,,
08230321,0,,,
08230322,0,,,
08230323,0,,,
08230324,0,,,
08230325,0,,,
08230326,0,,,
08230327,0,,,
08230328,0,,,
08230329,0,,,
08230330,0,,,
08230331,0,,,
08230332,0,,,
08230333,0,,,
08230334,0,,,
08230335,0,,,
08230336,0,,,
08230337,0,,,
08230338,0,,,
08230339,0,,,
08230340,0,,,
08230341,0,,,
08230342,0,,,
08230343,0,,,
08230344,0,,,
08230345,0,,,
08230346,0,,,
08230347,0,,,
08230348,0,,,
08230349,0,,,
08230350,0,,,
08230351,0,,,
08230352,0,,,
08230353,0,,,
08230354,0,,,
08230355,0,,,
08230356,0,,,
08230357,0,,,
08230358,0,,,
08230359,0,,,
08230360,0,,,
08230361,0,,,
08230362,0,,,
08230363,0,,,
08230364,0,,,
08230365,0,,,
08230366,0,,,
08230367,0,,,
08230368,0,,,
08230369,0,,,
08230370,0,,,
08230371,0,,,
08230372,0,,,
08230373,0,,,
08230374,0,,,
08230375,0,,,
08230376,0,,,
08230377,0,,,
08230378,0,,,
08230379,0,,,
08230380,0,,,
08230381,0,,,
08230382,0,,,
08230383,0,,,
08230384,0,,,
08230385,0,,,
08230386,0,,,
08230387,0,,,
08230388,0,,,
08230389,0,,,
08230390,0,,,
08230391,0,,,
08230392,0,,,
08230393,0,,,
08230394,0,,,
08230395,0,,,
08230396,0,,,
08230397,0,,,
08230398,0,,,
08230399,0,,,
08230400,0,,,
08230401,0,,,
08230402,0,,,
08230403,0,,,
08230404,0,,,
08230405,0,,,
08230406,0,,,
08230407,0,,,
08230408,0,,,
08230409,0,,,
08230410,0,,,
08230411,0,,,
08230412,0,,,
08230413,0,,,
08230414,0,,,
08230415,0,,,
08230416,0,,,
08230417,0,,,
08230418,0,,,
08230419,0,,,
08230420,0,,,
08230421,0,,,
08230422,0,,,
08230423,0,,,
08230424,0,,,
08230425,0,,,
08230426,0,,,
08230427,0,,,
08230428,0,,,
08230429,0,,,
08230430,0,,,
08230431,0,,,
08230432,0,,,
08230433,0,,,
08230434,0,,,
08230435,0,,,
08230436,0,,,
08230437,0,,,
08230438,0,,,
08230439,0,,,
08230440,0,,,
08230441,0,,,
08230442,0,,,
08230443,0,,,
08230444,0,,,
08230445,0,,,
08230446,0,,,
08230447,0,,,
08230448,0,,,
08230449,0,,,
08230450,0,,,
08230451,0,,,
08230452,0,,,
08230453,0,,,
08230454,0,,,
08230455,0,,,
08230456,0,,,
08230457,0,,,
08230458,0,,,
08230459,0,,,
08230460,0,,,
08230461,0,,,
08230462,0,,,
08230463,0,,,
08230464,0,,,
08230465,0,,,
08230466,0,,,
08230467,0,,,
08230468,0,,,
08230469,0,,,
08230470,0,,,
08230471,0,,,
08230472,0,,,
08230473,0,,,
08230474,0,,,
08230475,0,,,
08230476,0,,,
08230477,0,,,
08230478,0,,,
08230479,0,,,
08230480,0,,,
08230481,0,,,
08230482,0,,,
08230483,0,,,
08230484,0,,,
08230485,0,,,
08230486,0,,,
08230487,0,,,
08230488,0,,,
08230489,0,,,
08230490,0,,,
08230491,0,,,
08230492,0,,,
08230493,0,,,
08230494,0,,,
08230495,0,,,
08230496,0,,,
08230497,0,,,
08230498,0,,,
08230499,0,,,
08230500,0,,,
08230501,0,,,
08230502,0,,,
08230503,0,,,
08230504,0,,,
08230505,0,,,
08230506,0,,,
08230507,0,,,
08230508,0,,,
08230509,0,,,
08230510,0,,,
08230511,0,,,
08230512,0,,,
08230513,0,,,
08230514,0,,,
08230515,0,,,
08230516,0,,,
08230517,0,,,
08230518,0,,,
08230519,0,,,
08230520,0,,,
08230521,0,,,
08230522,0,,,
08230523,0,,,
08230524,0,,,
08230525,0,,,
08230526,0,,,
08230527,0,,,
08230528,0,,,
08230529,0,,,
08230530,0,,,
08230531,0,,,
08230532,0,,,
08230533,0,,,
08230534,0,,,
08230535,0,,,
08230536,0,,,
08230537,0,,,
08230538,0,,,
08230539,0,,,
08230540,0,,,
08230541,0,,,
08230542,0,,,
08230543,0,,,
08230544,0,,,
08230545,0,,,
08230546,0,,,
08230547,0,,,
08230548,0,,,
08230549,0,,,
08230550,0,,,
08230551,0,,,
08230552,0,,,
08230553,0,,,
08230554,0,,,
08230555,0,,,
08230556,0,,,
08230557,0,,,
08230558,0,,,
08230559,0,,,
08230560,0,,,
08230561,0,,,
08230562,0,,,
08230563,0,,,
08230564,0,,,
08230565,0,,,
08230566,0,,,
08230567,0,,,
08230568,0,,,
08230569,0,,,
08230570,0,,,
08230571,0,,,
08230572,0,,,
08230573,0,,,
08230574,0,,,
08230575,0,,,
08230576,0,,,
08230577,0,,,
08230578,0,,,
08230579,0,,,
08230580,0,,,
08230581,0,,,
08230582,0,,,
08230583,0,,,
08230584,0,,,
08230585,0,,,
08230586,0,,,
08230587,0,,,
08230588,0,,,
08230589,0,,,
08230590,0,,,
08230591,0,,,
08230592,0,,,
08230593,0,,,
08230594,0,,,
08230595,0,,,
08230596,0,,,
08230597,0,,,
08230598,0,,,
08230599,0,,,
08230600,0,,,
08230601,0,,,
08230602,0,,,
08230603,0,,,
08230604,0,,,
08230605,0,,,
08230606,0,,,
08230607,0,,,
08230608,0,,,
08230609,0,,,
08230610,0,,,
08230611,0,,,
08230612,0,,,
08230613,0,,,
08230614,0,,,
08230615,0,,,
08230616,0,,,
08230617,0,,,
08230618,0,,,
08230619,0,,,
08230620,0,,,
08230621,0,,,
08230622,0,,,
08230623,0,,,
08230624,0,,,
08230625,0,,,
08230626,0,,,
08230627,0,,,
08230628,0,,,
08230629,0,,,
08230630,0,,,
08230631,0,,,
08230632,0,,,
08230633,0,,,
08230634,0,,,
08230635,0,,,
08230636,0,,,
08230637,0,,,
08230638,0,,,
08230639,0,,,
08230640,0,,,
08230641,0,,,
08230642,0,,,
08230643,0,,,
08230644,0,,,
08230645,0,,,
08230646,0,,,
08230647,0,,,
08230648,0,,,
08230649,0,,,
08230650,0,,,
08230651,0,,,
08230652,0,,,
08230653,0,,,
08230654,0,,,
08230655,0,,,
08230656,0,,,
08230657,0,,,
08230658,0,,,
08230659,0,,,
08230660,0,,,
08230661,0,,,
08230662,0,,,
08230663,0,,,
08230664,0,,,
08230665,0,,,
08230666,0,,,
08230667,0,,,
08230668,0,,,
08230669,0,,,
08230670,0,,,
08230671,0,,,
08230672,0,,,
08230673,0,,,
08230674,0,,,
08230675,0,,,
08230676,0,,,
08230677,0,,,
08230678,0,,,
08230679,0,,,
08230680,0,,,
08230681,0,,,
08230682,0,,,
08230683,0,,,
08230684,0,,,
08230685,0,,,
08230686,0,,,
08230687,0,,,
08230688,0,,,
08230689,0,,,
08230690,0,,,
08230691,0,,,
08230692,0,,,
08230693,0,,,
08230694,0,,,
08230695,0,,,
08230696,0,,,
08230697,0,,,
08230698,0,,,
08230699,0,,,
08230700,0,,,
08230701,0,,,
08230702,0,,,
08230703,0,,,
08230704,0,,,
08230705,0,,,
08230706,0,,,
08230707,0,,,
08230708,0,,,
08230709,0,,,
08230710,0,,,
08230711,0,,,
08230712,0,,,
08230713,0,,,
08230714,0,,,
08230715,0,,,
08230716,0,,,
08230717,0,,,
08230718,0,,,
08230719,0,,,
08230720,0,,,
08230721,0,,,
08230722,0,,,
08230723,0,,,
08230724,0,,,
08230725,0,,,
08230726,0,,,
08230727,0,,,
08230728,0,,,
08230729,0,,,
08230730,0,,,
08230731,0,,,
08230732,0,,,
08230733,0,,,
08230734,0,,,
08230735,0,,,
08230736,0,,,
08230737,0,,,
08230738,0,,,
08230739,0,,,
08230740,0,,,
08230741,0,,,
08230742,0,,,
08230743,0,,,
08230744,0,,,
08230745,0,,,
08230746,0,,,
08230747,0,,,
08230748,0,,,
08230749,0,,,
08230750,0,,,
08230751,0,,,
08230752,0,,,
08230753,0,,,
08230754,0,,,
08230755,0,,,
08230756,0,,,
08230757,0,,,
08230758,0,,,
08230759,0,,,
08230760,0,,,
08230761,0,,,
08230762,0,,,
08230763,0,,,
08230764,0,,,
08230765,0,,,
08230766,0,,,
08230767,0,,,
08230768,0,,,
08230769,0,,,
08230770,0,,,
08230771,0,,,
08230772,0,,,
08230773,0,,,
08230774,0,,,
08230775,0,,,
08230776,0,,,
08230777,0,,,
08230778,0,,,
08230779,0,,,
08230780,0,,,
08230781,0,,,
08230782,0,,,
08230783,0,,,
08230784,0,,,
08230785,0,,,
08230786,0,,,
08230787,0,,,
08230788,0,,,
08230789,0,,,
08230790,0,,,
08230791,0,,,
08230792,0,,,
08230793,0,,,
08230794,0,,,
08230795,0,,,
08230796,0,,,
08230797,0,,,
08230798,0,,,
08230799,0,,,
08230800,0,,,
08230801,0,,,
08230802,0,,,
08230803,0,,,
08230804,0,,,
08230805,0,,,
08230806,0,,,
08230807,0,,,
08230808,0,,,
08230809,0,,,
08230810,0,,,
08230811,0,,,
08230812,0,,,
08230813,0,,,
08230814,0,,,
08230815,0,,,
08230816,0,,,
08230817,0,,,
08230818,0,,,
08230819,0,,,
08230820,0,,,
08230821,0,,,
08230822,0,,,
08230823,0,,,
08230824,0,,,
08230825,0,,,
08230826,0,,,
08230827,0,,,
08230828,0,,,
08230829,0,,,
08230830,0,,,
08230831,0,,,
08230832,0,,,
08230833,0,,,
08230834,0,,,
08230835,0,,,
08230836,0,,,
08230837,0,,,
08230838,0,,,
08230839,0,,,
08230840,0,,,
08230841,0,,,
08230842,0,,,
08230843,0,,,
08230844,0,,,
08230845,0,,,
08230846,0,,,
08230847,0,,,
08230848,0,,,
08230849,0,,,
08230850,0,,,
08230851,0,,,
08230852,0,,,
08230853,0,,,
08230854,0,,,
08230855,0,,,
08230856,0,,,
08230857,0,,,
08230858,0,,,
08230859,0,,,
08230860,0,,,
08230861,0,,,
08230862,0,,,
08230863,0,,,
08230864,0,,,
08230865,0,,,
08230866,0,,,
08230867,0,,,
08230868,0,,,
08230869,0,,,
08230870,0,,,
08230871,0,,,
08230872,0,,,
08230873,0,,,
08230874,0,,,
08230875,0,,,
08230876,0,,,
08230877,0,,,
08230878,0,,,
08230879,0,,,
08230880,0,,,
08230881,0,,,
08230882,0,,,
08230883,0,,,
08230884,0,,,
08230885,0,,,
08230886,0,,,
08230887,0,,,
08230888,0,,,
08230889,0,,,
08230890,0,,,
08230891,0,,,
08230892,0,,,
08230893,0,,,
