ca1,co2,Columna1,Columna2,Columna2
08330192,0,,,
08330193,0,,,
08330194,0,,,
08330195,0,,,
08330196,0,,,
08330197,0,,,
08330198,0,,,
08330199,0,,,
08330200,0,,,
08330201,0,,,
08330202,0,,,
08330203,0,,,
08330204,0,,,
08330205,0,,,
08330206,0,,,
08330207,0,,,
08330208,0,,,
08330209,0,,,
08330210,0,,,
08330211,0,,,
08330212,0,,,
08330213,0,,,
08330214,0,,,
08330215,0,,,
08330216,0,,,
08330217,0,,,
08330218,0,,,
08330219,0,,,
08330220,0,,,
08330221,0,,,
08330222,0,,,
08330223,0,,,
08330224,0,,,
08330225,0,,,
08330226,0,,,
08330227,0,,,
08330228,0,,,
08330229,0,,,
08330230,0,,,
08330231,0,,,
08330232,0,,,
08330233,0,,,
08330234,0,,,
08330235,0,,,
08330236,0,,,
08330237,0,,,
08330238,0,,,
08330239,0,,,
08330240,0,,,
08330241,0,,,
08330242,0,,,
08330243,0,,,
08330244,0,,,
08330245,0,,,
08330246,0,,,
08330247,0,,,
08330248,0,,,
08330249,0,,,
08330250,0,,,
08330251,0,,,
08330252,0,,,
08330253,0,,,
08330254,0,,,
08330255,0,,,
08330256,0,,,
08330257,0,,,
08330258,0,,,
08330259,0,,,
08330260,0,,,
08330261,0,,,
08330262,0,,,
08330263,0,,,
08330264,0,,,
08330265,0,,,
08330266,0,,,
08330267,0,,,
08330268,0,,,
08330269,0,,,
08330270,0,,,
08330271,0,,,
08330272,0,,,
08330273,0,,,
08330274,0,,,
08330275,0,,,
08330276,0,,,
08330277,0,,,
08330278,0,,,
08330279,0,,,
08330280,0,,,
08330281,0,,,
08330282,0,,,
08330283,0,,,
08330284,0,,,
08330285,0,,,
08330286,0,,,
08330287,0,,,
08330288,0,,,
08330289,0,,,
08330290,0,,,
08330291,0,,,
08330292,0,,,
08330293,0,,,
08330294,0,,,
08330295,0,,,
08330296,0,,,
08330297,0,,,
08330298,0,,,
08330299,0,,,
08330300,0,,,
08330301,0,,,
08330302,0,,,
08330303,0,,,
08330304,0,,,
08330305,0,,,
08330306,0,,,
08330307,0,,,
08330308,0,,,
08330309,0,,,
08330310,0,,,
08330311,0,,,
08330312,0,,,
08330313,0,,,
08330314,0,,,
08330315,0,,,
08330316,0,,,
08330317,0,,,
08330318,0,,,
08330319,0,,,
08330320,0,,,
08330321,0,,,
08330322,0,,,
08330323,0,,,
08330324,0,,,
08330325,0,,,
08330326,0,,,
08330327,0,,,
08330328,0,,,
08330329,0,,,
08330330,0,,,
08330331,0,,,
08330332,0,,,
08330333,0,,,
08330334,0,,,
08330335,0,,,
08330336,0,,,
08330337,0,,,
08330338,0,,,
08330339,0,,,
08330340,0,,,
08330341,0,,,
08330342,0,,,
08330343,0,,,
08330344,0,,,
08330345,0,,,
08330346,0,,,
08330347,0,,,
08330348,0,,,
08330349,0,,,
08330350,0,,,
08330351,0,,,
08330352,0,,,
08330353,0,,,
08330354,0,,,
08330355,0,,,
08330356,0,,,
08330357,0,,,
08330358,0,,,
08330359,0,,,
08330360,0,,,
08330361,0,,,
08330362,0,,,
08330363,0,,,
08330364,0,,,
08330365,0,,,
08330366,0,,,
08330367,0,,,
08330368,0,,,
08330369,0,,,
08330370,0,,,
08330371,0,,,
08330372,0,,,
08330373,0,,,
08330374,0,,,
08330375,0,,,
08330376,0,,,
08330377,0,,,
08330378,0,,,
08330379,0,,,
08330380,0,,,
08330381,0,,,
08330382,0,,,
08330383,0,,,
08330384,0,,,
08330385,0,,,
08330386,0,,,
08330387,0,,,
08330388,0,,,
08330389,0,,,
08330390,0,,,
08330391,0,,,
08330392,0,,,
08330393,0,,,
08330394,0,,,
08330395,0,,,
08330396,0,,,
08330397,0,,,
08330398,0,,,
08330399,0,,,
08330400,0,,,
08330401,0,,,
08330402,0,,,
08330403,0,,,
08330404,0,,,
08330405,0,,,
08330406,0,,,
08330407,0,,,
08330408,0,,,
08330409,0,,,
08330410,0,,,
08330411,0,,,
08330412,0,,,
08330413,0,,,
08330414,0,,,
08330415,0,,,
08330416,0,,,
08330417,0,,,
08330418,0,,,
08330419,0,,,
08330420,0,,,
08330421,0,,,
08330422,0,,,
08330423,0,,,
08330424,0,,,
08330425,0,,,
08330426,0,,,
08330427,0,,,
08330428,0,,,
08330429,0,,,
08330430,0,,,
08330431,0,,,
08330432,0,,,
08330433,0,,,
08330434,0,,,
08330435,0,,,
08330436,0,,,
08330437,0,,,
08330438,0,,,
08330439,0,,,
08330440,0,,,
08330441,0,,,
08330442,0,,,
08330443,0,,,
08330444,0,,,
08330445,0,,,
08330446,0,,,
08330447,0,,,
08330448,0,,,
08330449,0,,,
08330450,0,,,
08330451,0,,,
08330452,0,,,
08330453,0,,,
08330454,0,,,
08330455,0,,,
08330456,0,,,
08330457,0,,,
08330458,0,,,
08330459,0,,,
08330460,0,,,
08330461,0,,,
08330462,0,,,
08330463,0,,,
08330464,0,,,
08330465,0,,,
08330466,0,,,
08330467,0,,,
08330468,0,,,
08330469,0,,,
08330470,0,,,
08330471,0,,,
08330472,0,,,
08330473,0,,,
08330474,0,,,
08330475,0,,,
08330476,0,,,
08330477,0,,,
08330478,0,,,
08330479,0,,,
08330480,0,,,
08330481,0,,,
08330482,0,,,
08330483,0,,,
08330484,0,,,
08330485,0,,,
08330486,0,,,
08330487,0,,,
08330488,0,,,
08330489,0,,,
08330490,0,,,
08330491,0,,,
08330492,0,,,
08330493,0,,,
08330494,0,,,
08330495,0,,,
08330496,0,,,
08330497,0,,,
08330498,0,,,
08330499,0,,,
08330500,0,,,
08330501,0,,,
08330502,0,,,
08330503,0,,,
08330504,0,,,
08330505,0,,,
08330506,0,,,
08330507,0,,,
08330508,0,,,
08330509,0,,,
08330510,0,,,
08330511,0,,,
08330512,0,,,
08330513,0,,,
08330514,0,,,
08330515,0,,,
08330516,0,,,
08330517,0,,,
08330518,0,,,
08330519,0,,,
08330520,0,,,
08330521,0,,,
08330522,0,,,
08330523,0,,,
08330524,0,,,
08330525,0,,,
08330526,0,,,
08330527,0,,,
08330528,0,,,
08330529,0,,,
08330530,0,,,
08330531,0,,,
08330532,0,,,
08330533,0,,,
08330534,0,,,
08330535,0,,,
08330536,0,,,
08330537,0,,,
08330538,0,,,
08330539,0,,,
08330540,0,,,
08330541,0,,,
08330542,0,,,
08330543,0,,,
08330544,0,,,
08330545,0,,,
08330546,0,,,
08330547,0,,,
08330548,0,,,
08330549,0,,,
08330550,0,,,
08330551,0,,,
08330552,0,,,
08330553,0,,,
08330554,0,,,
08330555,0,,,
08330556,0,,,
08330557,0,,,
08330558,0,,,
08330559,0,,,
08330560,0,,,
08330561,0,,,
08330562,0,,,
08330563,0,,,
08330564,0,,,
08330565,0,,,
08330566,0,,,
08330567,0,,,
08330568,0,,,
08330569,0,,,
08330570,0,,,
08330571,0,,,
08330572,0,,,
08330573,0,,,
08330574,0,,,
08330575,0,,,
08330576,0,,,
08330577,0,,,
08330578,0,,,
08330579,0,,,
08330580,0,,,
08330581,0,,,
08330582,0,,,
08330583,0,,,
08330584,0,,,
08330585,0,,,
08330586,0,,,
08330587,0,,,
08330588,0,,,
08330589,0,,,
08330590,0,,,
08330591,0,,,
08330592,0,,,
08330593,0,,,
08330594,0,,,
08330595,0,,,
08330596,0,,,
08330597,0,,,
08330598,0,,,
08330599,0,,,
08330600,0,,,
