asd,co2,Columna1,Columna2,Columna2
41002354,0,,,
41002355,0,,,
41002356,0,,,
41002357,0,,,
41002358,0,,,
41002359,0,,,
41002360,0,,,
41002361,0,,,
41002362,0,,,
41002363,0,,,
41002364,0,,,
41002365,0,,,
41002366,0,,,
41002367,0,,,
41002368,0,,,
41002369,0,,,
41002370,0,,,
41002371,0,,,
41002372,0,,,
41002373,0,,,
41002374,0,,,
41002375,0,,,
41002376,0,,,
41002377,0,,,
41002378,0,,,
41002379,0,,,
41002380,0,,,
41002381,0,,,
41002382,0,,,
41002383,0,,,
41002384,0,,,
41002385,0,,,
41002386,0,,,
41002387,0,,,
41002388,0,,,
41002389,0,,,
41002390,0,,,
41002391,0,,,
41002392,0,,,
41002393,0,,,
41002394,0,,,
41002395,0,,,
41002396,0,,,
41002397,0,,,
41002398,0,,,
41002399,0,,,
41002400,0,,,
41002401,0,,,
41002402,0,,,
41002403,0,,,
41002404,0,,,
41002405,0,,,
41002406,0,,,
41002407,0,,,
41002408,0,,,
41002409,0,,,
41002410,0,,,
41002411,0,,,
41002412,0,,,
41002413,0,,,
41002414,0,,,
41002415,0,,,
41002416,0,,,
41002417,0,,,
41002418,0,,,
41002419,0,,,
41002420,0,,,
41002421,0,,,
41002422,0,,,
41002423,0,,,
41002424,0,,,
41002425,0,,,
41002426,0,,,
41002427,0,,,
41002428,0,,,
41002429,0,,,
41002430,0,,,
41002431,0,,,
41002432,0,,,
41002433,0,,,
41002434,0,,,
41002435,0,,,
41002436,0,,,
41002437,0,,,
41002438,0,,,
41002439,0,,,
41002440,0,,,
41002441,0,,,
41002442,0,,,
41002443,0,,,
41002444,0,,,
41002445,0,,,
41002446,0,,,
41002447,0,,,
41002448,0,,,
41002449,0,,,
41002450,0,,,
41002451,0,,,
41002452,0,,,
41002453,0,,,
41002454,0,,,
41002455,0,,,
41002456,0,,,
41002457,0,,,
41002458,0,,,
41002459,0,,,
41002460,0,,,
41002461,0,,,
41002462,0,,,
41002463,0,,,
41002464,0,,,
41002465,0,,,
41002466,0,,,
41002467,0,,,
41002468,0,,,
41002469,0,,,
41002470,0,,,
41002471,0,,,
41002472,0,,,
41002473,0,,,
41002474,0,,,
41002475,0,,,
41002476,0,,,
41002477,0,,,
41002478,0,,,
41002479,0,,,
41002480,0,,,
41002481,0,,,
41002482,0,,,
41002483,0,,,
41002484,0,,,
41002485,0,,,
41002486,0,,,
41002487,0,,,
41002488,0,,,
41002489,0,,,
41002490,0,,,
41002491,0,,,
41002492,0,,,
41002493,0,,,
41002494,0,,,
41002495,0,,,
41002496,0,,,
41002497,0,,,
41002498,0,,,
41002499,0,,,
41002500,0,,,
41002501,0,,,
41002502,0,,,
41002503,0,,,
41002504,0,,,
41002505,0,,,
41002506,0,,,
41002507,0,,,
41002508,0,,,
41002509,0,,,
41002510,0,,,
41002511,0,,,
41002512,0,,,
41002513,0,,,
41002514,0,,,
41002515,0,,,
41002516,0,,,
41002517,0,,,
41002518,0,,,
41002519,0,,,
41002520,0,,,
41002521,0,,,
41002522,0,,,
41002523,0,,,
41002524,0,,,
41002525,0,,,
41002526,0,,,
41002527,0,,,
41002528,0,,,
41002529,0,,,
41002530,0,,,
41002531,0,,,
41002532,0,,,
41002533,0,,,
41002534,0,,,
41002535,0,,,
41002536,0,,,
41002537,0,,,
41002538,0,,,
41002539,0,,,
41002540,0,,,
41002541,0,,,
41002542,0,,,
41002543,0,,,
41002544,0,,,
41002545,0,,,
41002546,0,,,
41002547,0,,,
41002548,0,,,
41002549,0,,,
41002550,0,,,
41002551,0,,,
41002552,0,,,
41002553,0,,,
41002554,0,,,
41002555,0,,,
41002556,0,,,
41002557,0,,,
41002558,0,,,
41002559,0,,,
41002560,0,,,
41002561,0,,,
41002562,0,,,
41002563,0,,,
41002564,0,,,
41002565,0,,,
41002566,0,,,
41002567,0,,,
41002568,0,,,
41002569,0,,,
41002570,0,,,
41002571,0,,,
41002572,0,,,
41002573,0,,,
41002574,0,,,
41002575,0,,,
41002576,0,,,
41002577,0,,,
41002578,0,,,
41002579,0,,,
41002580,0,,,
41002581,0,,,
41002582,0,,,
41002583,0,,,
41002584,0,,,
41002585,0,,,
41002586,0,,,
41002587,0,,,
41002588,0,,,
41002589,0,,,
41002590,0,,,
41002591,0,,,
41002592,0,,,
41002593,0,,,
41002594,0,,,
41002595,0,,,
41002596,0,,,
41002597,0,,,
41002598,0,,,
41002599,0,,,
41002600,0,,,
41002601,0,,,
41002602,0,,,
41002603,0,,,
41002604,0,,,
41002605,0,,,
41002606,0,,,
41002607,0,,,
41002608,0,,,
41002609,0,,,
41002610,0,,,
41002611,0,,,
41002612,0,,,
