co1,co2,Columna1,Columna2,Columna2
47504354,0,,,
47504355,0,,,
47504356,0,,,
47504357,0,,,
47504358,0,,,
47504359,0,,,
47504360,0,,,
47504361,0,,,
47504362,0,,,
47504363,0,,,
47504364,0,,,
47504365,0,,,
47504366,0,,,
47504367,0,,,
47504368,0,,,
47504369,0,,,
47504370,0,,,
47504371,0,,,
47504372,0,,,
47504373,0,,,
47504374,0,,,
47504375,0,,,
47504376,0,,,
47504377,0,,,
47504378,0,,,
47504379,0,,,
47504380,0,,,
47504381,0,,,
47504382,0,,,
47504383,0,,,
47504384,0,,,
47504385,0,,,
47504386,0,,,
47504387,0,,,
47504388,0,,,
47504389,0,,,
47504390,0,,,
47504391,0,,,
47504392,0,,,
47504393,0,,,
47504394,0,,,
47504395,0,,,
47504396,0,,,
47504397,0,,,
47504398,0,,,
47504399,0,,,
47504400,0,,,
47504401,0,,,
47504402,0,,,
47504403,0,,,
47504404,0,,,
47504405,0,,,
47504406,0,,,
47504407,0,,,
47504408,0,,,
47504409,0,,,
47504410,0,,,
47504411,0,,,
47504412,0,,,
47504413,0,,,
47504414,0,,,
47504415,0,,,
47504416,0,,,
47504417,0,,,
47504418,0,,,
47504419,0,,,
47504420,0,,,
47504421,0,,,
47504422,0,,,
47504423,0,,,
47504424,0,,,
47504425,0,,,
47504426,0,,,
47504427,0,,,
47504428,0,,,
47504429,0,,,
47504430,0,,,
47504431,0,,,
47504432,0,,,
47504433,0,,,
47504434,0,,,
47504435,0,,,
47504436,0,,,
47504437,0,,,
47504438,0,,,
47504439,0,,,
47504440,0,,,
47504441,0,,,
47504442,0,,,
47504443,0,,,
47504444,0,,,
47504445,0,,,
47504446,0,,,
47504447,0,,,
47504448,0,,,
47504449,0,,,
47504450,0,,,
47504451,0,,,
47504452,0,,,
47504453,0,,,
47504454,0,,,
47504455,0,,,
47504456,0,,,
47504457,0,,,
47504458,0,,,
47504459,0,,,
47504460,0,,,
47504461,0,,,
47504462,0,,,
47504463,0,,,
47504464,0,,,
47504465,0,,,
47504466,0,,,
47504467,0,,,
47504468,0,,,
47504469,0,,,
47504470,0,,,
47504471,0,,,
47504472,0,,,
47504473,0,,,
47504474,0,,,
47504475,0,,,
47504476,0,,,
47504477,0,,,
47504478,0,,,
47504479,0,,,
47504480,0,,,
47504481,0,,,
47504482,0,,,
47504483,0,,,
47504484,0,,,
47504485,0,,,
47504486,0,,,
47504487,0,,,
47504488,0,,,
47504489,0,,,
47504490,0,,,
47504491,0,,,
47504492,0,,,
47504493,0,,,
47504494,0,,,
47504495,0,,,
47504496,0,,,
47504497,0,,,
47504498,0,,,
47504499,0,,,
47504500,0,,,
47504501,0,,,
47504502,0,,,
47504503,0,,,
47504504,0,,,
47504505,0,,,
47504506,0,,,
47504507,0,,,
47504508,0,,,
47504509,0,,,
47504510,0,,,
47504511,0,,,
47504512,0,,,
47504513,0,,,
47504514,0,,,
47504515,0,,,
47504516,0,,,
47504517,0,,,
47504518,0,,,
47504519,0,,,
47504520,0,,,
47504521,0,,,
47504522,0,,,
47504523,0,,,
47504524,0,,,
47504525,0,,,
47504526,0,,,
47504527,0,,,
47504528,0,,,
47504529,0,,,
47504530,0,,,
47504531,0,,,
47504532,0,,,
47504533,0,,,
47504534,0,,,
47504535,0,,,
47504536,0,,,
47504537,0,,,
47504538,0,,,
47504539,0,,,
47504540,0,,,
47504541,0,,,
47504542,0,,,
47504543,0,,,
47504544,0,,,
47504545,0,,,
47504546,0,,,
47504547,0,,,
47504548,0,,,
47504549,0,,,
47504550,0,,,
47504551,0,,,
47504552,0,,,
47504553,0,,,
47504554,0,,,
47504555,0,,,
47504556,0,,,
47504557,0,,,
47504558,0,,,
47504559,0,,,
47504560,0,,,
47504561,0,,,
47504562,0,,,
47504563,0,,,
47504564,0,,,
47504565,0,,,
47504566,0,,,
47504567,0,,,
47504568,0,,,
47504569,0,,,
47504570,0,,,
47504571,0,,,
47504572,0,,,
47504573,0,,,
47504574,0,,,
47504575,0,,,
47504576,0,,,
47504577,0,,,
47504578,0,,,
47504579,0,,,
47504580,0,,,
47504581,0,,,
47504582,0,,,
47504583,0,,,
47504584,0,,,
47504585,0,,,
47504586,0,,,
47504587,0,,,
47504588,0,,,
47504589,0,,,
47504590,0,,,
47504591,0,,,
47504592,0,,,
47504593,0,,,
47504594,0,,,
47504595,0,,,
47504596,0,,,
47504597,0,,,
47504598,0,,,
47504599,0,,,
47504600,0,,,
47504601,0,,,
47504602,0,,,
47504603,0,,,
47504604,0,,,
47504605,0,,,
47504606,0,,,
47504607,0,,,
47504608,0,,,
47504609,0,,,
47504610,0,,,
47504611,0,,,
47504612,0,,,
47504613,0,,,
47504614,0,,,
47504615,0,,,
47504616,0,,,
47504617,0,,,
47504618,0,,,
47504619,0,,,
47504620,0,,,
47504621,0,,,
47504622,0,,,
47504623,0,,,
47504624,0,,,
47504625,0,,,
47504626,0,,,
47504627,0,,,
47504628,0,,,
47504629,0,,,
47504630,0,,,
47504631,0,,,
47504632,0,,,
47504633,0,,,
47504634,0,,,
47504635,0,,,
47504636,0,,,
47504637,0,,,
47504638,0,,,
47504639,0,,,
47504640,0,,,
47504641,0,,,
47504642,0,,,
47504643,0,,,
47504644,0,,,
47504645,0,,,
47504646,0,,,
47504647,0,,,
47504648,0,,,
47504649,0,,,
47504650,0,,,
47504651,0,,,
47504652,0,,,
47504653,0,,,
47504654,0,,,
47504655,0,,,
47504656,0,,,
47504657,0,,,
47504658,0,,,
47504659,0,,,
47504660,0,,,
47504661,0,,,
47504662,0,,,
47504663,0,,,
47504664,0,,,
47504665,0,,,
47504666,0,,,
47504667,0,,,
47504668,0,,,
47504669,0,,,
47504670,0,,,
47504671,0,,,
47504672,0,,,
47504673,0,,,
47504674,0,,,
47504675,0,,,
47504676,0,,,
47504677,0,,,
47504678,0,,,
47504679,0,,,
47504680,0,,,
47504681,0,,,
47504682,0,,,
47504683,0,,,
47504684,0,,,
47504685,0,,,
47504686,0,,,
47504687,0,,,
47504688,0,,,
47504689,0,,,
47504690,0,,,
47504691,0,,,
47504692,0,,,
47504693,0,,,
47504694,0,,,
47504695,0,,,
47504696,0,,,
47504697,0,,,
47504698,0,,,
47504699,0,,,
47504700,0,,,
47504701,0,,,
47504702,0,,,
47504703,0,,,
47504704,0,,,
47504705,0,,,
47504706,0,,,
47504707,0,,,
47504708,0,,,
47504709,0,,,
47504710,0,,,
47504711,0,,,
47504712,0,,,
47504713,0,,,
47504714,0,,,
47504715,0,,,
47504716,0,,,
47504717,0,,,
47504718,0,,,
47504719,0,,,
47504720,0,,,
47504721,0,,,
47504722,0,,,
47504723,0,,,
47504724,0,,,
47504725,0,,,
47504726,0,,,
47504727,0,,,
47504728,0,,,
47504729,0,,,
47504730,0,,,
47504731,0,,,
47504732,0,,,
47504733,0,,,
47504734,0,,,
47504735,0,,,
47504736,0,,,
47504737,0,,,
47504738,0,,,
47504739,0,,,
47504740,0,,,
47504741,0,,,
47504742,0,,,
47504743,0,,,
47504744,0,,,
47504745,0,,,
47504746,0,,,
47504747,0,,,
47504748,0,,,
47504749,0,,,
47504750,0,,,
47504751,0,,,
47504752,0,,,
47504753,0,,,
47504754,0,,,
47504755,0,,,
47504756,0,,,
47504757,0,,,
47504758,0,,,
47504759,0,,,
47504760,0,,,
47504761,0,,,
47504762,0,,,
47504763,0,,,
47504764,0,,,
47504765,0,,,
47504766,0,,,
47504767,0,,,
47504768,0,,,
47504769,0,,,
47504770,0,,,
47504771,0,,,
47504772,0,,,
47504773,0,,,
47504774,0,,,
47504775,0,,,
47504776,0,,,
47504777,0,,,
47504778,0,,,
47504779,0,,,
47504780,0,,,
47504781,0,,,
47504782,0,,,
47504783,0,,,
47504784,0,,,
47504785,0,,,
47504786,0,,,
47504787,0,,,
47504788,0,,,
47504789,0,,,
47504790,0,,,
47504791,0,,,
47504792,0,,,
47504793,0,,,
47504794,0,,,
47504795,0,,,
47504796,0,,,
47504797,0,,,
47504798,0,,,
47504799,0,,,
47504800,0,,,
47504801,0,,,
47504802,0,,,
47504803,0,,,
47504804,0,,,
47504805,0,,,
47504806,0,,,
47504807,0,,,
47504808,0,,,
47504809,0,,,
47504810,0,,,
47504811,0,,,
47504812,0,,,
47504813,0,,,
47504814,0,,,
47504815,0,,,
47504816,0,,,
47504817,0,,,
47504818,0,,,
47504819,0,,,
47504820,0,,,
47504821,0,,,
47504822,0,,,
47504823,0,,,
47504824,0,,,
47504825,0,,,
47504826,0,,,
47504827,0,,,
47504828,0,,,
47504829,0,,,
47504830,0,,,
47504831,0,,,
47504832,0,,,
47504833,0,,,
47504834,0,,,
47504835,0,,,
47504836,0,,,
47504837,0,,,
47504838,0,,,
47504839,0,,,
47504840,0,,,
47504841,0,,,
47504842,0,,,
47504843,0,,,
47504844,0,,,
47504845,0,,,
47504846,0,,,
47504847,0,,,
47504848,0,,,
47504849,0,,,
47504850,0,,,
47504851,0,,,
47504852,0,,,
47504853,0,,,
47504854,0,,,
47504855,0,,,
47504856,0,,,
47504857,0,,,
47504858,0,,,
47504859,0,,,
47504860,0,,,
47504861,0,,,
47504862,0,,,
47504863,0,,,
47504864,0,,,
47504865,0,,,
47504866,0,,,
47504867,0,,,
47504868,0,,,
47504869,0,,,
47504870,0,,,
47504871,0,,,
47504872,0,,,
47504873,0,,,
47504874,0,,,
47504875,0,,,
47504876,0,,,
47504877,0,,,
47504878,0,,,
47504879,0,,,
47504880,0,,,
47504881,0,,,
47504882,0,,,
47504883,0,,,
47504884,0,,,
47504885,0,,,
47504886,0,,,
47504887,0,,,
47504888,0,,,
47504889,0,,,
47504890,0,,,
47504891,0,,,
47504892,0,,,
47504893,0,,,
47504894,0,,,
47504895,0,,,
47504896,0,,,
47504897,0,,,
47504898,0,,,
47504899,0,,,
47504900,0,,,
47504901,0,,,
47504902,0,,,
47504903,0,,,
47504904,0,,,
47504905,0,,,
47504906,0,,,
47504907,0,,,
47504908,0,,,
47504909,0,,,
47504910,0,,,
47504911,0,,,
47504912,0,,,
47504913,0,,,
47504914,0,,,
47504915,0,,,
47504916,0,,,
47504917,0,,,
47504918,0,,,
47504919,0,,,
47504920,0,,,
47504921,0,,,
47504922,0,,,
47504923,0,,,
47504924,0,,,
47504925,0,,,
47504926,0,,,
47504927,0,,,
47504928,0,,,
47504929,0,,,
47504930,0,,,
47504931,0,,,
47504932,0,,,
47504933,0,,,
47504934,0,,,
47504935,0,,,
47504936,0,,,
47504937,0,,,
47504938,0,,,
47504939,0,,,
47504940,0,,,
47504941,0,,,
47504942,0,,,
47504943,0,,,
47504944,0,,,
47504945,0,,,
47504946,0,,,
47504947,0,,,
47504948,0,,,
47504949,0,,,
47504950,0,,,
47504951,0,,,
47504952,0,,,
47504953,0,,,
47504954,0,,,
47504955,0,,,
47504956,0,,,
47504957,0,,,
47504958,0,,,
47504959,0,,,
47504960,0,,,
47504961,0,,,
47504962,0,,,
47504963,0,,,
47504964,0,,,
47504965,0,,,
47504966,0,,,
47504967,0,,,
47504968,0,,,
47504969,0,,,
47504970,0,,,
47504971,0,,,
47504972,0,,,
47504973,0,,,
47504974,0,,,
47504975,0,,,
47504976,0,,,
47504977,0,,,
47504978,0,,,
47504979,0,,,
47504980,0,,,
47504981,0,,,
47504982,0,,,
47504983,0,,,
47504984,0,,,
47504985,0,,,
47504986,0,,,
47504987,0,,,
47504988,0,,,
47504989,0,,,
47504990,0,,,
47504991,0,,,
47504992,0,,,
47504993,0,,,
47504994,0,,,
47504995,0,,,
47504996,0,,,
47504997,0,,,
47504998,0,,,
47504999,0,,,
47505000,0,,,
47505001,0,,,
47505002,0,,,
47505003,0,,,
47505004,0,,,
47505005,0,,,
47505006,0,,,
47505007,0,,,
47505008,0,,,
47505009,0,,,
47505010,0,,,
47505011,0,,,
47505012,0,,,
47505013,0,,,
47505014,0,,,
47505015,0,,,
47505016,0,,,
47505017,0,,,
47505018,0,,,
47505019,0,,,
47505020,0,,,
47505021,0,,,
47505022,0,,,
47505023,0,,,
47505024,0,,,
47505025,0,,,
47505026,0,,,
47505027,0,,,
47505028,0,,,
47505029,0,,,
47505030,0,,,
47505031,0,,,
47505032,0,,,
47505033,0,,,
47505034,0,,,
47505035,0,,,
47505036,0,,,
47505037,0,,,
47505038,0,,,
47505039,0,,,
47505040,0,,,
47505041,0,,,
47505042,0,,,
47505043,0,,,
47505044,0,,,
47505045,0,,,
47505046,0,,,
47505047,0,,,
47505048,0,,,
47505049,0,,,
47505050,0,,,
47505051,0,,,
47505052,0,,,
