col1,co2,Columna1,Columna2,Columna2
08130192,0,,,
08130193,0,,,
08130194,0,,,
08130195,0,,,
08130196,0,,,
08130197,0,,,
08130198,0,,,
08130199,0,,,
08130200,0,,,
08130201,0,,,
08130202,0,,,
08130203,0,,,
08130204,0,,,
08130205,0,,,
08130206,0,,,
08130207,0,,,
08130208,0,,,
08130209,0,,,
08130210,0,,,
08130211,0,,,
08130212,0,,,
08130213,0,,,
08130214,0,,,
08130215,0,,,
08130216,0,,,
08130217,0,,,
08130218,0,,,
08130219,0,,,
08130220,0,,,
08130221,0,,,
08130222,0,,,
08130223,0,,,
08130224,0,,,
08130225,0,,,
08130226,0,,,
08130227,0,,,
08130228,0,,,
08130229,0,,,
08130230,0,,,
08130231,0,,,
08130232,0,,,
08130233,0,,,
08130234,0,,,
08130235,0,,,
08130236,0,,,
08130237,0,,,
08130238,0,,,
08130239,0,,,
08130240,0,,,
08130241,0,,,
08130242,0,,,
08130243,0,,,
08130244,0,,,
08130245,0,,,
08130246,0,,,
08130247,0,,,
08130248,0,,,
08130249,0,,,
08130250,0,,,
08130251,0,,,
08130252,0,,,
08130253,0,,,
08130254,0,,,
08130255,0,,,
08130256,0,,,
08130257,0,,,
08130258,0,,,
08130259,0,,,
08130260,0,,,
08130261,0,,,
08130262,0,,,
08130263,0,,,
08130264,0,,,
08130265,0,,,
08130266,0,,,
08130267,0,,,
08130268,0,,,
08130269,0,,,
08130270,0,,,
08130271,0,,,
08130272,0,,,
08130273,0,,,
08130274,0,,,
08130275,0,,,
08130276,0,,,
08130277,0,,,
08130278,0,,,
08130279,0,,,
08130280,0,,,
08130281,0,,,
08130282,0,,,
08130283,0,,,
08130284,0,,,
08130285,0,,,
08130286,0,,,
08130287,0,,,
08130288,0,,,
08130289,0,,,
08130290,0,,,
08130291,0,,,
08130292,0,,,
08130293,0,,,
08130294,0,,,
08130295,0,,,
08130296,0,,,
08130297,0,,,
08130298,0,,,
08130299,0,,,
08130300,0,,,
08130301,0,,,
08130302,0,,,
08130303,0,,,
08130304,0,,,
08130305,0,,,
08130306,0,,,
08130307,0,,,
08130308,0,,,
08130309,0,,,
08130310,0,,,
08130311,0,,,
08130312,0,,,
08130313,0,,,
08130314,0,,,
08130315,0,,,
08130316,0,,,
08130317,0,,,
08130318,0,,,
08130319,0,,,
08130320,0,,,
08130321,0,,,
08130322,0,,,
08130323,0,,,
08130324,0,,,
08130325,0,,,
08130326,0,,,
08130327,0,,,
08130328,0,,,
08130329,0,,,
08130330,0,,,
08130331,0,,,
08130332,0,,,
08130333,0,,,
08130334,0,,,
08130335,0,,,
08130336,0,,,
08130337,0,,,
08130338,0,,,
08130339,0,,,
08130340,0,,,
08130341,0,,,
08130342,0,,,
08130343,0,,,
08130344,0,,,
08130345,0,,,
08130346,0,,,
08130347,0,,,
08130348,0,,,
08130349,0,,,
08130350,0,,,
08130351,0,,,
08130352,0,,,
08130353,0,,,
08130354,0,,,
08130355,0,,,
08130356,0,,,
08130357,0,,,
08130358,0,,,
08130359,0,,,
08130360,0,,,
08130361,0,,,
08130362,0,,,
08130363,0,,,
08130364,0,,,
08130365,0,,,
08130366,0,,,
08130367,0,,,
08130368,0,,,
08130369,0,,,
08130370,0,,,
08130371,0,,,
08130372,0,,,
08130373,0,,,
08130374,0,,,
08130375,0,,,
08130376,0,,,
08130377,0,,,
08130378,0,,,
08130379,0,,,
08130380,0,,,
08130381,0,,,
08130382,0,,,
08130383,0,,,
08130384,0,,,
08130385,0,,,
08130386,0,,,
08130387,0,,,
08130388,0,,,
08130389,0,,,
08130390,0,,,
08130391,0,,,
08130392,0,,,
08130393,0,,,
08130394,0,,,
08130395,0,,,
08130396,0,,,
08130397,0,,,
08130398,0,,,
08130399,0,,,
08130400,0,,,
08130401,0,,,
08130402,0,,,
08130403,0,,,
08130404,0,,,
08130405,0,,,
08130406,0,,,
08130407,0,,,
08130408,0,,,
08130409,0,,,
08130410,0,,,
08130411,0,,,
08130412,0,,,
08130413,0,,,
08130414,0,,,
08130415,0,,,
08130416,0,,,
08130417,0,,,
08130418,0,,,
08130419,0,,,
08130420,0,,,
08130421,0,,,
08130422,0,,,
08130423,0,,,
08130424,0,,,
08130425,0,,,
08130426,0,,,
08130427,0,,,
08130428,0,,,
08130429,0,,,
08130430,0,,,
08130431,0,,,
08130432,0,,,
08130433,0,,,
08130434,0,,,
08130435,0,,,
08130436,0,,,
08130437,0,,,
08130438,0,,,
08130439,0,,,
08130440,0,,,
08130441,0,,,
08130442,0,,,
08130443,0,,,
08130444,0,,,
08130445,0,,,
08130446,0,,,
08130447,0,,,
08130448,0,,,
08130449,0,,,
08130450,0,,,
08130451,0,,,
08130452,0,,,
08130453,0,,,
08130454,0,,,
08130455,0,,,
08130456,0,,,
08130457,0,,,
08130458,0,,,
08130459,0,,,
08130460,0,,,
08130461,0,,,
08130462,0,,,
08130463,0,,,
08130464,0,,,
08130465,0,,,
08130466,0,,,
08130467,0,,,
08130468,0,,,
08130469,0,,,
08130470,0,,,
08130471,0,,,
08130472,0,,,
08130473,0,,,
08130474,0,,,
08130475,0,,,
08130476,0,,,
08130477,0,,,
08130478,0,,,
08130479,0,,,
08130480,0,,,
08130481,0,,,
08130482,0,,,
08130483,0,,,
08130484,0,,,
08130485,0,,,
08130486,0,,,
08130487,0,,,
08130488,0,,,
08130489,0,,,
08130490,0,,,
08130491,0,,,
08130492,0,,,
08130493,0,,,
08130494,0,,,
08130495,0,,,
08130496,0,,,
08130497,0,,,
08130498,0,,,
08130499,0,,,
08130500,0,,,
08130501,0,,,
08130502,0,,,
08130503,0,,,
08130504,0,,,
08130505,0,,,
08130506,0,,,
08130507,0,,,
08130508,0,,,
08130509,0,,,
08130510,0,,,
08130511,0,,,
08130512,0,,,
08130513,0,,,
08130514,0,,,
08130515,0,,,
08130516,0,,,
08130517,0,,,
08130518,0,,,
08130519,0,,,
08130520,0,,,
08130521,0,,,
08130522,0,,,
08130523,0,,,
08130524,0,,,
08130525,0,,,
08130526,0,,,
08130527,0,,,
08130528,0,,,
08130529,0,,,
08130530,0,,,
08130531,0,,,
08130532,0,,,
08130533,0,,,
08130534,0,,,
08130535,0,,,
08130536,0,,,
08130537,0,,,
08130538,0,,,
08130539,0,,,
08130540,0,,,
08130541,0,,,
08130542,0,,,
08130543,0,,,
08130544,0,,,
08130545,0,,,
08130546,0,,,
08130547,0,,,
08130548,0,,,
08130549,0,,,
08130550,0,,,
08130551,0,,,
08130552,0,,,
08130553,0,,,
08130554,0,,,
08130555,0,,,
08130556,0,,,
08130557,0,,,
08130558,0,,,
08130559,0,,,
08130560,0,,,
08130561,0,,,
08130562,0,,,
08130563,0,,,
08130564,0,,,
08130565,0,,,
08130566,0,,,
08130567,0,,,
08130568,0,,,
08130569,0,,,
08130570,0,,,
08130571,0,,,
08130572,0,,,
08130573,0,,,
08130574,0,,,
08130575,0,,,
08130576,0,,,
08130577,0,,,
08130578,0,,,
08130579,0,,,
08130580,0,,,
08130581,0,,,
08130582,0,,,
08130583,0,,,
08130584,0,,,
08130585,0,,,
08130586,0,,,
08130587,0,,,
08130588,0,,,
08130589,0,,,
08130590,0,,,
08130591,0,,,
08130592,0,,,
08130593,0,,,
08130594,0,,,
08130595,0,,,
08130596,0,,,
08130597,0,,,
08130598,0,,,
08130599,0,,,
08130600,0,,,
08130601,0,,,
08130602,0,,,
08130603,0,,,
08130604,0,,,
08130605,0,,,
08130606,0,,,
08130607,0,,,
08130608,0,,,
08130609,0,,,
08130610,0,,,
08130611,0,,,
08130612,0,,,
08130613,0,,,
08130614,0,,,
08130615,0,,,
08130616,0,,,
08130617,0,,,
08130618,0,,,
08130619,0,,,
08130620,0,,,
08130621,0,,,
08130622,0,,,
08130623,0,,,
08130624,0,,,
08130625,0,,,
08130626,0,,,
08130627,0,,,
08130628,0,,,
08130629,0,,,
08130630,0,,,
08130631,0,,,
08130632,0,,,
08130633,0,,,
08130634,0,,,
08130635,0,,,
08130636,0,,,
08130637,0,,,
08130638,0,,,
08130639,0,,,
08130640,0,,,
08130641,0,,,
08130642,0,,,
08130643,0,,,
08130644,0,,,
08130645,0,,,
08130646,0,,,
08130647,0,,,
08130648,0,,,
08130649,0,,,
08130650,0,,,
08130651,0,,,
08130652,0,,,
08130653,0,,,
08130654,0,,,
08130655,0,,,
08130656,0,,,
08130657,0,,,
08130658,0,,,
08130659,0,,,
08130660,0,,,
08130661,0,,,
08130662,0,,,
08130663,0,,,
08130664,0,,,
08130665,0,,,
08130666,0,,,
08130667,0,,,
08130668,0,,,
08130669,0,,,
08130670,0,,,
08130671,0,,,
08130672,0,,,
08130673,0,,,
08130674,0,,,
08130675,0,,,
08130676,0,,,
08130677,0,,,
08130678,0,,,
08130679,0,,,
08130680,0,,,
08130681,0,,,
08130682,0,,,
08130683,0,,,
08130684,0,,,
08130685,0,,,
08130686,0,,,
08130687,0,,,
08130688,0,,,
08130689,0,,,
08130690,0,,,
08130691,0,,,
08130692,0,,,
08130693,0,,,
08130694,0,,,
08130695,0,,,
08130696,0,,,
08130697,0,,,
08130698,0,,,
08130699,0,,,
08130700,0,,,
08130701,0,,,
08130702,0,,,
08130703,0,,,
08130704,0,,,
08130705,0,,,
08130706,0,,,
08130707,0,,,
08130708,0,,,
08130709,0,,,
08130710,0,,,
08130711,0,,,
08130712,0,,,
08130713,0,,,
08130714,0,,,
08130715,0,,,
08130716,0,,,
08130717,0,,,
08130718,0,,,
08130719,0,,,
08130720,0,,,
08130721,0,,,
08130722,0,,,
08130723,0,,,
08130724,0,,,
08130725,0,,,
08130726,0,,,
08130727,0,,,
08130728,0,,,
08130729,0,,,
08130730,0,,,
08130731,0,,,
08130732,0,,,
08130733,0,,,
08130734,0,,,
08130735,0,,,
08130736,0,,,
08130737,0,,,
08130738,0,,,
08130739,0,,,
08130740,0,,,
08130741,0,,,
08130742,0,,,
08130743,0,,,
08130744,0,,,
08130745,0,,,
08130746,0,,,
08130747,0,,,
08130748,0,,,
08130749,0,,,
08130750,0,,,
08130751,0,,,
08130752,0,,,
08130753,0,,,
08130754,0,,,
08130755,0,,,
08130756,0,,,
08130757,0,,,
08130758,0,,,
08130759,0,,,
08130760,0,,,
08130761,0,,,
08130762,0,,,
08130763,0,,,
08130764,0,,,
08130765,0,,,
08130766,0,,,
08130767,0,,,
08130768,0,,,
08130769,0,,,
08130770,0,,,
08130771,0,,,
08130772,0,,,
08130773,0,,,
08130774,0,,,
08130775,0,,,
08130776,0,,,
08130777,0,,,
08130778,0,,,
08130779,0,,,
08130780,0,,,
08130781,0,,,
08130782,0,,,
08130783,0,,,
08130784,0,,,
08130785,0,,,
08130786,0,,,
08130787,0,,,
08130788,0,,,
08130789,0,,,
08130790,0,,,
08130791,0,,,
08130792,0,,,
08130793,0,,,
08130794,0,,,
08130795,0,,,
08130796,0,,,
08130797,0,,,
08130798,0,,,
08130799,0,,,
08130800,0,,,
08130801,0,,,
08130802,0,,,
08130803,0,,,
08130804,0,,,
08130805,0,,,
08130806,0,,,
08130807,0,,,
08130808,0,,,
08130809,0,,,
08130810,0,,,
08130811,0,,,
08130812,0,,,
08130813,0,,,
08130814,0,,,
08130815,0,,,
08130816,0,,,
08130817,0,,,
08130818,0,,,
08130819,0,,,
08130820,0,,,
08130821,0,,,
08130822,0,,,
08130823,0,,,
08130824,0,,,
08130825,0,,,
08130826,0,,,
08130827,0,,,
08130828,0,,,
08130829,0,,,
08130830,0,,,
08130831,0,,,
08130832,0,,,
08130833,0,,,
08130834,0,,,
08130835,0,,,
08130836,0,,,
08130837,0,,,
08130838,0,,,
08130839,0,,,
08130840,0,,,
08130841,0,,,
08130842,0,,,
08130843,0,,,
08130844,0,,,
08130845,0,,,
08130846,0,,,
08130847,0,,,
08130848,0,,,
08130849,0,,,
08130850,0,,,
08130851,0,,,
08130852,0,,,
08130853,0,,,
08130854,0,,,
08130855,0,,,
08130856,0,,,
08130857,0,,,
08130858,0,,,
08130859,0,,,
08130860,0,,,
08130861,0,,,
08130862,0,,,
08130863,0,,,
08130864,0,,,
08130865,0,,,
08130866,0,,,
08130867,0,,,
08130868,0,,,
